City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Darab,IR,51.66,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
206,Ancud,CL,62.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
207,Souillac,MU,75.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
208,Ahuimanu,US,77.0,clear sky,21.4447,-157.8378,Paradise Bay Resort
209,Seminole,US,68.0,few clouds,28.7086,-81.2081,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
210,Antofagasta,CL,66.2,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
211,Sal Rei,CV,68.0,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
215,Eregli,TR,42.98,clear sky,37.5133,34.0467,Hotel Fuat Bey
216,Mana,GF,76.93,light rain,5.6592,-53.7767,LE SAMANA
219,Tucupita,VE,70.72,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
220,Seydi,TM,47.1,overcast clouds,39.4816,62.9137,Çagalar Dünýäsi
222,Katsuura,JP,57.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
224,Coihaique,CL,68.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
227,San Cristobal,VE,66.36,overcast clouds,7.7669,-72.225,Pirineos
230,Fortuna,US,48.99,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
231,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
232,Iranshahr,IR,50.04,clear sky,27.2025,60.6848,نیک سرشت
236,Porangatu,BR,69.94,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
237,Impfondo,CG,73.44,light rain,1.6381,18.0667,Préfecture de la Likouala
241,Isiro,CD,61.16,clear sky,2.7739,27.616,Guest House Hewa Bora
244,Meulaboh,ID,79.41,broken clouds,4.1363,96.1285,Kost Pria
246,Arraial Do Cabo,BR,72.1,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
249,Coquimbo,CL,60.8,clear sky,-29.9533,-71.3436,Hotel San Juan
250,Praia,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
251,Namibe,AO,70.61,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
253,Kindu,CD,71.62,overcast clouds,-2.95,25.95,Résidence Okanda
254,Khorramabad,IR,41.95,overcast clouds,33.4878,48.3558,Azadi Hotel
257,Domoni,KM,79.88,broken clouds,-12.2569,44.5319,Al Djadid
258,Harper,LR,79.03,clear sky,4.375,-7.7169,Screensaver
259,Cuanajo,MX,69.8,clear sky,19.4833,-101.5167,Cabañas En Renta. Shariny
260,Houston,US,62.01,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
261,Palmeira,BR,59.27,clear sky,-25.4294,-50.0064,Hotel Vereda
262,Constantine,DZ,57.2,broken clouds,36.365,6.6147,Grand Hotel Cirta
264,Sur,OM,62.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
267,Sao Filipe,CV,69.31,few clouds,14.8961,-24.4956,Tortuga B&B
268,Myitkyina,MM,62.8,clear sky,25.3833,97.4,Shwe Phyu Hotel
269,Hualmay,PE,70.93,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
270,Abha,SA,46.4,scattered clouds,18.2164,42.5053,Abha Hotel
272,Hambantota,LK,71.6,few clouds,6.1241,81.1185,Bungalow 63
274,Conceicao Do Araguaia,BR,73.13,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
275,Dwarka,IN,68.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
