City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuching,MY,1.55,110.3333,75.2,100,20,2.3,few clouds
1,Kapaa,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
2,Lavrentiya,RU,65.5833,-171.0,-10.77,83,0,6.53,clear sky
3,Bluff,NZ,-46.6,168.3333,54.07,87,100,5.55,light rain
4,Seoul,KR,37.5683,126.9778,28.4,54,0,9.22,clear sky
5,Nueva Gerona,CU,21.8833,-82.8,82.94,65,16,11.74,few clouds
6,Eten,PE,-6.9081,-79.8642,87.8,48,0,11.5,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,64.4,27,0,12.66,clear sky
8,Tuatapere,NZ,-46.1333,167.6833,54.61,75,94,4.54,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,69.01,71,46,1.99,scattered clouds
10,New Norfolk,AU,-42.7826,147.0587,53.6,66,90,6.91,overcast clouds
11,Atuona,PF,-9.8,-139.0333,79.32,75,44,21.56,scattered clouds
12,Cabo San Lucas,MX,22.8909,-109.9124,73.0,52,40,2.55,scattered clouds
13,Hirara,JP,24.8,125.2833,68.77,72,100,10.98,overcast clouds
14,Saint-Augustin,CA,51.226,-58.6502,29.71,92,85,23.49,overcast clouds
15,Ostrovnoy,RU,68.0531,39.5131,9.54,88,100,7.72,overcast clouds
16,Lebu,CL,-37.6167,-73.65,64.9,72,58,6.51,broken clouds
17,Dudinka,RU,69.4058,86.1778,-30.21,80,5,11.45,clear sky
18,Rikitea,PF,-23.1203,-134.9692,77.27,72,95,11.77,overcast clouds
19,Albany,US,42.6001,-73.9662,27.0,75,100,5.32,snow
20,Esperance,AU,-33.8667,121.9,64.4,82,90,14.97,overcast clouds
21,Newberg,US,45.3001,-122.9732,42.8,81,90,5.75,overcast clouds
22,Vila Velha,BR,-20.3297,-40.2925,71.6,94,90,5.75,overcast clouds
23,Barrow,US,71.2906,-156.7887,-20.2,69,90,11.5,haze
24,Dikson,RU,73.5069,80.5464,-29.06,86,88,10.94,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
